Suburb,Rooms,Type,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,Regionname,Propertycount,Price,Distance_bin,Total Space
McKinnon,2,h,Buxton,8/12/2017,11.4,3204,2,1,2,397,Southern Metropolitan,2397,1200000,Nearby,7
McKinnon,4,t,Jellis,8/12/2017,11.4,3204,3,3,1,267,Southern Metropolitan,2397,1800800,Nearby,11
Melbourne,1,u,hockingstuart,8/12/2017,0,3000,1,1,1,50,Northern Metropolitan,17496,605000,Nearby,4
Melton,4,h,FN,8/12/2017,31.7,3337,3,3,2,603,Western Victoria,3600,375000,Far,12
Melton West,4,h,hockingstuart,8/12/2017,31.7,3337,4,2,2,935,Northern Victoria,6065,600000,Far,12
Mentone,3,h,Buxton,8/12/2017,20,3194,3,1,2,585,South-Eastern Metropolitan,6162,900000,Moderately close,9
Mentone,3,t,Buxton,8/12/2017,20,3194,2,2,1,248,South-Eastern Metropolitan,6162,1500000,Moderately close,8
Mentone,4,h,Greg,8/12/2017,20,3194,4,2,2,408,South-Eastern Metropolitan,6162,2025000,Moderately close,12
Mernda,4,h,Love,8/12/2017,25.9,3754,4,2,2,475,Northern Metropolitan,5812,630000,Moderately close,12
Mill Park,3,h,Ray,8/12/2017,17.9,3082,3,3,1,482,Northern Metropolitan,10529,522000,Moderately close,10
Mitcham,3,h,Noel,8/12/2017,17.2,3132,3,1,2,684,Eastern Metropolitan,6871,1071000,Moderately close,9
Mitcham,3,t,Noel,8/12/2017,17.2,3132,3,2,2,323,Eastern Metropolitan,6871,973000,Moderately close,10
Mitcham,3,t,Fletchers,8/12/2017,17.2,3132,3,3,1,236,Eastern Metropolitan,6871,880000,Moderately close,10
Montmorency,3,h,Buckingham,8/12/2017,16.2,3094,3,2,4,786,Eastern Metropolitan,3891,881100,Moderately close,12
Moonee Ponds,2,h,Nelson,8/12/2017,6.2,3039,2,1,1,283,Western Metropolitan,6232,1060000,Nearby,6
Moonee Ponds,3,h,Jellis,8/12/2017,6.2,3039,3,2,2,674,Western Metropolitan,6232,1225000,Nearby,10
Mooroolbark,3,h,Fletchers,8/12/2017,26.5,3138,3,1,4,905,Eastern Victoria,8280,930000,Moderately close,11
Mordialloc,4,h,Buxton,8/12/2017,21.5,3195,4,2,2,656,South-Eastern Metropolitan,3650,1800000,Moderately close,12
Mordialloc,4,h,Hodges,8/12/2017,21.5,3195,4,2,2,695,South-Eastern Metropolitan,3650,1440000,Moderately close,12
Mount Waverley,2,u,Buxton,8/12/2017,14.2,3149,2,1,1,292,Eastern Metropolitan,13366,730000,Nearby,6
Mount Waverley,5,h,McGrath,8/12/2017,14.2,3149,5,5,2,667,Eastern Metropolitan,13366,2558000,Nearby,17
Mulgrave,4,h,Noel,8/12/2017,18.8,3170,4,2,7,771,South-Eastern Metropolitan,7113,1001000,Moderately close,17
Narre Warren,4,h,O'Brien,8/12/2017,34.1,3805,4,2,2,638,South-Eastern Metropolitan,9376,655000,Far,12
Newport,2,h,Burnham,8/12/2017,6.2,3015,2,1,0,571,Western Metropolitan,5498,1050000,Nearby,5
Newport,3,t,Williams,8/12/2017,6.2,3015,3,2,2,200,Western Metropolitan,5498,730000,Nearby,10
Newport,3,h,Williams,8/12/2017,6.2,3015,3,2,2,358,Western Metropolitan,5498,1195000,Nearby,10
Newport,4,h,Williams,8/12/2017,6.2,3015,4,2,2,224,Western Metropolitan,5498,923000,Nearby,12
Newport,2,u,RT,8/12/2017,6.2,3015,2,1,1,163,Western Metropolitan,5498,600000,Nearby,6
Niddrie,3,h,Barry,8/12/2017,10.4,3042,3,2,1,324,Western Metropolitan,2291,1230000,Nearby,9
Noble Park,3,t,iSell,8/12/2017,22.7,3174,2,2,1,248,South-Eastern Metropolitan,11806,622000,Moderately close,8
North Melbourne,4,h,Jellis,8/12/2017,1.8,3051,4,2,1,137,Northern Metropolitan,6821,1475000,Nearby,11
North Melbourne,2,u,Jellis,8/12/2017,1.8,3051,2,1,1,50,Northern Metropolitan,6821,450000,Nearby,6
North Melbourne,2,u,Woodards,8/12/2017,1.8,3051,2,1,1,1618,Northern Metropolitan,6821,525000,Nearby,6
Northcote,3,h,Woodards,8/12/2017,5.3,3070,3,1,2,260,Northern Metropolitan,11364,1225000,Nearby,9
Northcote,2,u,McGrath,8/12/2017,5.3,3070,1,1,1,50,Northern Metropolitan,11364,520000,Nearby,5
Northcote,4,h,McGrath,8/12/2017,5.3,3070,4,2,1,55,Northern Metropolitan,11364,1955000,Nearby,11
Northcote,3,h,McGrath,8/12/2017,5.3,3070,3,1,2,901,Northern Metropolitan,11364,2775000,Nearby,9
Northcote,2,u,McGrath,8/12/2017,5.3,3070,1,1,1,50,Northern Metropolitan,11364,673000,Nearby,5
Nunawading,3,h,Fletchers,8/12/2017,15.4,3131,3,1,2,717,Eastern Metropolitan,4973,1310000,Moderately close,9
Oakleigh,4,h,Woodards,8/12/2017,12.3,3166,4,2,3,588,Southern Metropolitan,3224,1415000,Nearby,13
Oakleigh South,2,u,Ray,8/12/2017,15.5,3167,2,1,1,50,South-Eastern Metropolitan,3692,601000,Moderately close,6
Ormond,2,u,Gary,8/12/2017,11.4,3204,2,1,1,1100,Southern Metropolitan,3578,440000,Nearby,6
Ormond,1,u,Woodards,8/12/2017,11.4,3204,1,1,1,2029,Southern Metropolitan,3578,370000,Nearby,4
Parkdale,3,h,Ray,8/12/2017,21.5,3195,3,2,2,597,South-Eastern Metropolitan,5087,1051000,Moderately close,10
Parkdale,3,t,Buxton,8/12/2017,21.5,3195,3,2,2,300,South-Eastern Metropolitan,5087,1206000,Moderately close,10
Parkdale,3,t,Purplebricks,8/12/2017,21.5,3195,2,2,1,248,South-Eastern Metropolitan,5087,915000,Moderately close,8
Pascoe Vale,3,t,Nelson,8/12/2017,8.5,3044,3,2,1,50,Northern Metropolitan,7485,900000,Nearby,9
Pascoe Vale,3,t,Ray,8/12/2017,8.5,3044,2,2,1,145,Northern Metropolitan,7485,550000,Nearby,8
Pascoe Vale,2,t,Eview,8/12/2017,8.5,3044,2,2,1,145,Northern Metropolitan,7485,500000,Nearby,7
Pascoe Vale,3,h,Brad,8/12/2017,8.5,3044,3,1,2,587,Northern Metropolitan,7485,940000,Nearby,9
Pascoe Vale,2,u,Barry,8/12/2017,8.5,3044,1,1,1,50,Northern Metropolitan,7485,412500,Nearby,5
Pascoe Vale,1,u,Brad,8/12/2017,8.5,3044,1,1,1,50,Northern Metropolitan,7485,257500,Nearby,4
Pascoe Vale,1,u,Brad,8/12/2017,8.5,3044,1,1,1,995,Northern Metropolitan,7485,257500,Nearby,4
Pascoe Vale,3,h,Brad,8/12/2017,8.5,3044,3,2,2,256,Northern Metropolitan,7485,1114000,Nearby,10
Pascoe Vale,2,h,Nelson,8/12/2017,8.5,3044,3,3,1,482,Northern Metropolitan,7485,635000,Nearby,9
Point Cook,3,h,LJ,8/12/2017,14.7,3030,3,2,2,312,Western Metropolitan,15542,520000,Nearby,10
Point Cook,4,h,S&L,8/12/2017,14.7,3030,4,2,2,630,Western Metropolitan,15542,715000,Nearby,12
Port Melbourne,3,h,Marshall,8/12/2017,3.5,3207,3,2,3,337,Southern Metropolitan,8648,1900000,Nearby,11
Port Melbourne,2,u,Cayzer,8/12/2017,3.5,3207,2,2,2,50,Southern Metropolitan,8648,1480000,Nearby,8
Port Melbourne,4,h,Marshall,8/12/2017,3.5,3207,3,3,1,593,Southern Metropolitan,8648,2200000,Nearby,11
Port Melbourne,2,u,Chisholm,8/12/2017,3.5,3207,2,2,1,50,Southern Metropolitan,8648,760000,Nearby,7
Prahran,4,h,Jellis,8/12/2017,4.6,3181,4,2,2,401,Southern Metropolitan,7717,2635000,Nearby,12
Prahran,2,h,Biggin,8/12/2017,4.6,3181,2,1,0,192,Southern Metropolitan,7717,1250000,Nearby,5
Prahran,1,u,hockingstuart,8/12/2017,4.6,3181,1,1,2,50,Southern Metropolitan,7717,400000,Nearby,5
Prahran,3,h,hockingstuart,8/12/2017,4.6,3181,3,3,1,593,Southern Metropolitan,7717,1705000,Nearby,10
Prahran,4,h,Marshall,8/12/2017,4.6,3181,4,2,2,787,Southern Metropolitan,7717,4200000,Nearby,12
Prahran,2,h,hockingstuart,8/12/2017,4.6,3181,2,2,1,78,Southern Metropolitan,7717,1310000,Nearby,7
Prahran,2,u,hockingstuart,8/12/2017,4.6,3181,2,1,2,50,Southern Metropolitan,7717,626000,Nearby,7
Preston,3,h,Nelson,8/12/2017,8.4,3072,3,2,2,585,Northern Metropolitan,14577,1270000,Nearby,10
Preston,3,h,Nelson,8/12/2017,8.4,3072,3,1,5,581,Northern Metropolitan,14577,980000,Nearby,12
Preston,2,u,Harcourts,8/12/2017,8.4,3072,1,1,1,50,Northern Metropolitan,14577,460700,Nearby,5
Preston,4,h,Nelson,8/12/2017,8.4,3072,4,1,2,552,Northern Metropolitan,14577,1148000,Nearby,11
Princes Hill,3,h,Collins,8/12/2017,3.5,3054,3,2,1,288,Northern Metropolitan,1008,1540000,Nearby,9
Reservoir,4,h,Barry,8/12/2017,12,3073,4,3,4,725,Northern Metropolitan,21650,1210000,Nearby,15
Reservoir,3,h,Nelson,8/12/2017,12,3073,3,1,2,529,Northern Metropolitan,21650,935000,Nearby,9
Reservoir,3,h,Stockdale,8/12/2017,12,3073,3,2,2,292,Northern Metropolitan,21650,510000,Nearby,10
Reservoir,5,h,HAR,8/12/2017,12,3073,5,3,2,650,Northern Metropolitan,21650,861000,Nearby,15
Reservoir,3,h,Stockdale,8/12/2017,12,3073,3,1,2,952,Northern Metropolitan,21650,732000,Nearby,9
Reservoir,2,t,RW,8/12/2017,12,3073,2,2,1,145,Northern Metropolitan,21650,360000,Nearby,7
Reservoir,4,h,Ray,8/12/2017,12,3073,4,2,2,479,Northern Metropolitan,21650,755000,Nearby,12
Reservoir,2,h,Barry,8/12/2017,12,3073,3,3,1,482,Northern Metropolitan,21650,640000,Nearby,9
Reservoir,1,u,Barry,8/12/2017,12,3073,1,1,1,60,Northern Metropolitan,21650,325000,Nearby,4
Reservoir,4,h,Nelson,8/12/2017,12,3073,4,2,2,499,Northern Metropolitan,21650,1200000,Nearby,12
Richmond,2,u,Biggin,8/12/2017,2.4,3121,1,1,1,50,Northern Metropolitan,14949,595000,Nearby,5
Richmond,2,u,Jellis,8/12/2017,2.4,3121,1,1,1,50,Northern Metropolitan,14949,590000,Nearby,5
Ringwood,3,h,McGrath,8/12/2017,19.9,3134,3,2,2,1555,Eastern Metropolitan,7785,1450000,Moderately close,10
Ringwood,3,h,RW,8/12/2017,19.9,3134,3,2,1,461,Eastern Metropolitan,7785,800000,Moderately close,9
Ringwood,2,u,Carter,8/12/2017,19.9,3134,2,1,1,306,Eastern Metropolitan,7785,655000,Moderately close,6
Ringwood North,4,h,Appleby,8/12/2017,19.9,3134,4,2,2,962,Eastern Metropolitan,3619,812000,Moderately close,12
Rosanna,3,h,Fletchers,8/12/2017,8.9,3084,3,2,2,697,Eastern Metropolitan,3540,1400000,Nearby,10
Rosanna,5,h,Miles,8/12/2017,8.9,3084,5,3,3,694,Eastern Metropolitan,3540,1170000,Nearby,16
Rowville,5,h,Harcourts,8/12/2017,23.5,3178,5,3,2,725,South-Eastern Metropolitan,11667,970000,Moderately close,15
Sandringham,5,h,Buxton,8/12/2017,15.2,3191,5,4,4,700,Southern Metropolitan,4497,3350000,Moderately close,18
Sandringham,5,h,Buxton,8/12/2017,15.2,3191,5,3,2,556,Southern Metropolitan,4497,2255000,Moderately close,15
Scoresby,3,h,hockingstuart,8/12/2017,22.2,3179,3,2,2,590,Eastern Metropolitan,2206,870000,Moderately close,10
Seddon,4,h,Jas,8/12/2017,5.1,3011,4,2,2,457,Western Metropolitan,2417,1870000,Nearby,12
South Melbourne,3,t,Greg,8/12/2017,1.9,3205,3,3,2,100,Southern Metropolitan,5943,1750000,Nearby,11
South Melbourne,4,h,Greg,8/12/2017,1.9,3205,4,3,1,153,Southern Metropolitan,5943,1800000,Nearby,12
South Melbourne,4,h,Greg,8/12/2017,1.9,3205,4,3,0,280,Southern Metropolitan,5943,3825000,Nearby,11
South Morang,4,h,Love,8/12/2017,20.5,3752,4,2,2,196,Northern Metropolitan,7969,485000,Moderately close,12
South Yarra,2,u,Kay,8/12/2017,2.7,3141,2,2,1,50,Southern Metropolitan,14887,1350000,Nearby,7
South Yarra,2,u,Jellis,8/12/2017,2.7,3141,1,1,1,50,Southern Metropolitan,14887,621000,Nearby,5
South Yarra,3,u,hockingstuart,8/12/2017,2.7,3141,3,2,3,50,Southern Metropolitan,14887,940000,Nearby,11
South Yarra,1,u,Jellis,8/12/2017,2.7,3141,1,1,1,50,Southern Metropolitan,14887,410000,Nearby,4
South Yarra,2,u,Jellis,8/12/2017,2.7,3141,2,1,0,50,Southern Metropolitan,14887,980000,Nearby,5
South Yarra,1,u,hockingstuart,8/12/2017,2.7,3141,1,1,0,50,Southern Metropolitan,14887,380000,Nearby,3
Southbank,2,u,hockingstuart,8/12/2017,0.7,3006,2,1,1,50,Southern Metropolitan,8400,625000,Nearby,6
Springvale,6,h,Barry,8/12/2017,20.8,3171,6,2,2,869,South-Eastern Metropolitan,7412,917000,Moderately close,16
St Albans,4,h,YPA,8/12/2017,14,3021,4,2,2,592,Western Metropolitan,14042,632500,Nearby,12
St Albans,3,h,Sweeney,8/12/2017,14,3021,0,0,0,600,Western Metropolitan,14042,702000,Nearby,3
St Kilda,2,u,McGrath,8/12/2017,5,3182,2,1,0,50,Southern Metropolitan,13240,701000,Nearby,5
St Kilda,4,h,Gary,8/12/2017,5,3182,4,2,3,613,Southern Metropolitan,13240,1600000,Nearby,13
Strathmore,7,h,Nelson,8/12/2017,8.2,3041,7,3,4,608,Western Metropolitan,3284,2000000,Nearby,21
Strathmore,4,h,Considine,8/12/2017,8.2,3041,4,3,2,861,Western Metropolitan,3284,1610000,Nearby,13
Strathmore,3,h,Barry,8/12/2017,8.2,3041,3,2,3,697,Western Metropolitan,3284,1742000,Nearby,11
Strathmore,3,h,Considine,8/12/2017,8.2,3041,3,2,1,304,Western Metropolitan,3284,1016000,Nearby,9
Sunshine,3,h,S&L,8/12/2017,10.5,3020,3,2,1,485,Western Metropolitan,3755,700000,Nearby,9
Sunshine,2,u,Jas,8/12/2017,10.5,3020,2,2,1,80,Western Metropolitan,3755,532500,Nearby,7
Sunshine,2,t,Jas,8/12/2017,10.5,3020,2,2,1,200,Western Metropolitan,3755,615000,Nearby,7
Sunshine,2,h,Barry,8/12/2017,10.5,3020,2,1,0,418,Western Metropolitan,3755,615000,Nearby,5
Sunshine West,3,h,hockingstuart,8/12/2017,10.5,3020,3,1,2,691,Western Metropolitan,6763,650000,Nearby,9
Surrey Hills,5,h,Fletchers,8/12/2017,10.2,3127,5,3,2,593,Southern Metropolitan,5457,2400000,Nearby,15
Surrey Hills,3,t,Jellis,8/12/2017,10.2,3127,3,1,2,271,Southern Metropolitan,5457,938000,Nearby,9
Surrey Hills,4,h,Fletchers,8/12/2017,10.2,3127,4,2,2,910,Southern Metropolitan,5457,2290000,Nearby,12
Surrey Hills,3,h,Jellis,8/12/2017,10.2,3127,3,2,2,780,Southern Metropolitan,5457,1775000,Nearby,10
Sydenham,3,h,Purplebricks,8/12/2017,18,3037,3,2,4,665,Western Metropolitan,3640,659500,Moderately close,12
Tarneit,4,h,Purplebricks,8/12/2017,18.4,3029,4,2,2,498,Western Metropolitan,10160,505000,Moderately close,12
Tarneit,4,h,Reliance,8/12/2017,18.4,3029,4,2,2,452,Western Metropolitan,10160,560000,Moderately close,12
Taylors Lakes,4,h,Prof.,8/12/2017,15.5,3038,4,2,2,651,Western Metropolitan,5336,701000,Moderately close,12
Templestowe,4,h,Jellis,8/12/2017,15.5,3106,4,2,3,1330,Eastern Metropolitan,6202,2600000,Moderately close,13
Templestowe,4,h,Barry,8/12/2017,15.5,3106,4,2,2,646,Eastern Metropolitan,6202,1205000,Moderately close,12
Templestowe,5,h,Ray,8/12/2017,15.5,3106,5,3,2,787,Eastern Metropolitan,6202,1750000,Moderately close,15
Templestowe,4,h,Jellis,8/12/2017,15.5,3106,4,2,2,1025,Eastern Metropolitan,6202,1350000,Moderately close,12
Templestowe,5,h,Ray,8/12/2017,15.5,3106,5,3,3,4001,Eastern Metropolitan,6202,2300000,Moderately close,16
Templestowe,5,h,Barry,8/12/2017,15.5,3106,5,2,2,862,Eastern Metropolitan,6202,2330000,Moderately close,14
Templestowe Lower,3,h,Ray,8/12/2017,12.4,3107,3,3,1,693.5,Eastern Metropolitan,5420,1035000,Nearby,10
Templestowe Lower,3,h,Jellis,8/12/2017,12.4,3107,3,2,3,725,Eastern Metropolitan,5420,1350000,Nearby,11
Templestowe Lower,5,h,Barry,8/12/2017,12.4,3107,5,2,2,648,Eastern Metropolitan,5420,1410000,Nearby,14
Templestowe Lower,4,t,Barry,8/12/2017,12.4,3107,3,3,1,236,Eastern Metropolitan,5420,1120000,Nearby,11
Templestowe Lower,3,h,Ray,8/12/2017,12.4,3107,3,1,2,716,Eastern Metropolitan,5420,1204000,Nearby,9
The Basin,3,h,iTRAK,8/12/2017,27,3154,3,1,0,1281,Eastern Metropolitan,1690,610000,Moderately close,7
Thomastown,4,h,hockingstuart,8/12/2017,15.3,3074,4,1,2,695,Northern Metropolitan,7955,760000,Moderately close,11
Thomastown,3,h,HAR,8/12/2017,15.3,3074,3,2,2,541,Northern Metropolitan,7955,670000,Moderately close,10
Thornbury,2,t,Nelson,8/12/2017,7,3071,2,2,1,145,Northern Metropolitan,8870,675000,Nearby,7
Toorak,3,u,Scott,8/12/2017,4.1,3142,3,2,2,50,Southern Metropolitan,7217,1860000,Nearby,10
Toorak,3,u,Marshall,8/12/2017,4.1,3142,3,2,2,50,Southern Metropolitan,7217,1400000,Nearby,10
Toorak,3,u,Castran,8/12/2017,4.1,3142,3,2,1,187,Southern Metropolitan,7217,1350000,Nearby,9
Travancore,4,h,Nelson,8/12/2017,4.3,3032,4,3,2,291,Western Metropolitan,1052,2070000,Nearby,13
Vermont,3,h,Philip,8/12/2017,17.2,3133,3,1,2,603,Eastern Metropolitan,4181,865000,Moderately close,9
Vermont,4,h,hockingstuart,8/12/2017,17.2,3133,4,2,0,539,Eastern Metropolitan,4181,980000,Moderately close,10
Vermont South,4,h,Fletchers,8/12/2017,17.2,3133,4,2,2,660,Eastern Metropolitan,4280,950000,Moderately close,12
Viewbank,4,h,Miles,8/12/2017,8.9,3084,4,2,2,702,Eastern Metropolitan,2698,1295000,Nearby,12
Watsonia,4,h,Barry,8/12/2017,14.5,3087,4,2,4,631,Northern Metropolitan,2329,788800,Nearby,14
Watsonia,3,h,Barry,8/12/2017,14.5,3087,3,2,2,280,Northern Metropolitan,2329,900000,Nearby,10
Watsonia,3,h,Morrison,8/12/2017,14.5,3087,3,1,1,530,Northern Metropolitan,2329,700000,Nearby,8
Werribee,4,h,Ray,8/12/2017,14.7,3030,4,1,4,534,Western Metropolitan,16166,455000,Nearby,13
Werribee,3,h,Ray,8/12/2017,14.7,3030,3,1,2,569,Western Metropolitan,16166,483000,Nearby,9
Werribee,3,h,YPA,8/12/2017,14.7,3030,3,1,1,610,Western Metropolitan,16166,455000,Nearby,8
West Footscray,4,h,Jas,8/12/2017,6.4,3012,4,2,1,323,Western Metropolitan,5058,1276000,Nearby,11
Westmeadows,3,h,Barry,8/12/2017,16.5,3049,3,2,4,673,Northern Metropolitan,2474,700000,Moderately close,12
Westmeadows,3,h,Nelson,8/12/2017,16.5,3049,3,1,1,672,Northern Metropolitan,2474,729000,Moderately close,8
Wheelers Hill,4,h,Buxton,8/12/2017,16.7,3150,4,2,2,700,South-Eastern Metropolitan,7392,1184000,Moderately close,12
Wheelers Hill,4,h,Barry,8/12/2017,16.7,3150,4,2,2,752,South-Eastern Metropolitan,7392,1157000,Moderately close,12
Wheelers Hill,5,h,Barry,8/12/2017,16.7,3150,5,2,2,672,South-Eastern Metropolitan,7392,1100000,Moderately close,14
Williamstown,4,h,Sweeney,8/12/2017,6.8,3016,4,3,2,650,Western Metropolitan,6380,2200000,Nearby,13
Windsor,2,h,Biggin,8/12/2017,4.6,3181,2,2,0,70,Southern Metropolitan,4380,865000,Nearby,6
Wonga Park,3,h,Morrison,8/12/2017,25.2,3115,3,2,2,50,Eastern Victoria,1328,900000,Moderately close,10
Wyndham Vale,4,h,hockingstuart,8/12/2017,27.2,3024,3,3,1,537,Western Metropolitan,5262,742000,Moderately close,11
Wyndham Vale,4,h,Ray,8/12/2017,27.2,3024,3,3,1,537,Western Metropolitan,5262,590500,Moderately close,11
Wyndham Vale,4,h,YPA,8/12/2017,27.2,3024,4,2,1,512,Western Metropolitan,5262,500000,Moderately close,11
Yarraville,4,h,Nelson,8/12/2017,6.3,3013,4,3,2,234,Western Metropolitan,6543,1142000,Nearby,13
Yarraville,3,h,Sweeney,8/12/2017,6.3,3013,3,1,6,732,Western Metropolitan,6543,1100000,Nearby,13
Yarraville,2,h,Sweeney,8/12/2017,6.3,3013,2,1,1,178,Western Metropolitan,6543,780000,Nearby,6
Yarraville,3,h,Village,8/12/2017,6.3,3013,3,2,2,182,Western Metropolitan,6543,920000,Nearby,10
Yarraville,2,u,Greg,8/12/2017,6.3,3013,2,1,1,50,Western Metropolitan,6543,500000,Nearby,6
Alphington,2,h,Nelson,2/3/2018,5.7,3078,3,3,1,482,Northern Metropolitan,2211,765000,Nearby,9
Ardeer,3,h,Barry,2/3/2018,12.8,3022,3,1,1,537,Western Metropolitan,1281,630000,Nearby,8
Aspendale Gardens,4,h,Ray,2/3/2018,21.5,3195,4,2,2,632,South-Eastern Metropolitan,2243,1000000,Moderately close,12
Attwood,4,h,Stockdale,2/3/2018,16.5,3049,4,2,2,482,Northern Metropolitan,1130,578000,Moderately close,12
Avondale Heights,3,h,Moonee,2/3/2018,9.5,3034,3,1,2,409,Western Metropolitan,4502,730000,Nearby,9
Blackburn South,5,h,Fletchers,2/3/2018,13.4,3130,5,3,1,554,Eastern Metropolitan,4387,1225000,Nearby,14
Boronia,4,h,Noel,2/3/2018,25,3155,4,2,2,693.5,Eastern Metropolitan,9704,780000,Moderately close,12
Bundoora,4,h,Barry,2/3/2018,12.1,3083,4,2,2,596,Northern Metropolitan,10175,830000,Nearby,12
Bundoora,2,u,Ray,2/3/2018,12.1,3083,2,1,2,50,Northern Metropolitan,10175,536000,Nearby,7
Burwood East,3,u,McGrath,2/3/2018,14.7,3151,2,2,1,208,Eastern Metropolitan,4048,825000,Nearby,8
Caroline Springs,5,h,Barry,2/3/2018,14.8,3023,5,3,2,537,Western Metropolitan,7719,680000,Nearby,15
Caroline Springs,3,h,Prof.,2/3/2018,14.8,3023,3,2,2,154,Western Metropolitan,7719,450000,Nearby,10
Cheltenham,3,t,O'Brien,2/3/2018,17.9,3192,3,3,1,267,Southern Metropolitan,9758,925000,Moderately close,10
Cheltenham,4,h,Buxton,2/3/2018,17.9,3192,4,2,3,536,Southern Metropolitan,9758,1410000,Moderately close,13
Cheltenham,4,h,O'Brien,2/3/2018,17.9,3192,4,2,2,717,Southern Metropolitan,9758,1280000,Moderately close,12
Clayton South,3,h,Harcourts,2/3/2018,17.5,3169,3,1,2,530,South-Eastern Metropolitan,4734,770000,Moderately close,9
Craigieburn,4,h,Barry,2/3/2018,20.6,3064,4,2,2,482,Northern Metropolitan,15510,695000,Moderately close,12
Craigieburn,3,h,LJ,2/3/2018,20.6,3064,3,2,2,400,Northern Metropolitan,15510,560000,Moderately close,10
Craigieburn,3,h,Stockdale,2/3/2018,20.6,3064,3,3,1,482,Northern Metropolitan,15510,360000,Moderately close,10
Craigieburn,4,h,Raine,2/3/2018,20.6,3064,4,1,2,666,Northern Metropolitan,15510,511500,Moderately close,11
Craigieburn,4,h,Ray,2/3/2018,20.6,3064,4,2,2,482,Northern Metropolitan,15510,710500,Moderately close,12
Croydon,4,h,McGrath,2/3/2018,23,3136,4,2,2,540,Eastern Metropolitan,11925,1060000,Moderately close,12
Croydon,3,h,McGrath,2/3/2018,23,3136,3,2,2,969,Eastern Metropolitan,11925,845000,Moderately close,10
Deer Park,3,h,FN,2/3/2018,14.8,3023,3,1,4,533,Western Metropolitan,6388,490000,Nearby,11
Doreen,3,h,HAR,2/3/2018,25.9,3754,3,2,2,151,Northern Victoria,7254,477000,Moderately close,10
Eltham,3,h,Buckingham,2/3/2018,18,3095,3,1,2,693.5,Eastern Metropolitan,6990,875000,Moderately close,9
Emerald,1,h,Eview,2/3/2018,36.9,3782,1,1,0,1034,Eastern Victoria,2259,462000,Far,3
Fawkner,3,h,Brad,2/3/2018,13.1,3060,3,1,1,656,Northern Metropolitan,5070,876000,Nearby,8
Ferntree Gully,4,h,Schroeder,2/3/2018,24.8,3156,4,2,2,739,Eastern Metropolitan,10788,845000,Moderately close,12
Ferntree Gully,2,u,Noel,2/3/2018,24.8,3156,2,2,1,208,Eastern Metropolitan,10788,597000,Moderately close,7
Ferny Creek,3,h,FN,2/3/2018,29.5,3786,3,1,2,840,Eastern Victoria,604,690000,Moderately close,9
Footscray,2,h,hockingstuart/Sweeney,2/3/2018,5.1,3011,2,1,1,252,Western Metropolitan,7570,800000,Nearby,6
Forest Hill,3,h,Ray,2/3/2018,15.4,3131,3,1,3,587,Eastern Metropolitan,4385,880000,Moderately close,10
Forest Hill,4,h,Harcourts,2/3/2018,15.4,3131,4,2,2,497,Eastern Metropolitan,4385,1120000,Moderately close,12
Frankston,3,h,Ash,2/3/2018,38,3199,3,1,1,613,South-Eastern Metropolitan,17055,697250,Far,8
Frankston,3,h,O'Brien,2/3/2018,38,3199,3,1,2,608,South-Eastern Metropolitan,17055,561000,Far,9
Frankston,4,h,Aquire,2/3/2018,38,3199,4,3,2,718,South-Eastern Metropolitan,17055,810000,Far,13
Frankston,5,h,O'Brien,2/3/2018,38,3199,5,2,2,593,South-Eastern Metropolitan,17055,580000,Far,14
Glen Waverley,3,h,Harcourts,2/3/2018,16.7,3150,3,2,2,730,Eastern Metropolitan,15321,1130000,Moderately close,10
Glenroy,2,h,Eview,2/3/2018,11.2,3046,2,1,1,362,Northern Metropolitan,8870,685000,Nearby,6
Glenroy,3,h,RW,2/3/2018,11.2,3046,3,2,2,482,Northern Metropolitan,8870,645000,Nearby,10
Hawthorn East,2,h,Harcourts,2/3/2018,6.2,3123,3,3,1,593,Southern Metropolitan,6482,575000,Nearby,9
Heathmont,4,h,Purplebricks,2/3/2018,21.3,3135,4,2,6,723,Eastern Metropolitan,3794,1175000,Moderately close,16
Heidelberg Heights,3,h,Ray,2/3/2018,8.8,3081,3,1,2,583,Eastern Metropolitan,2947,865000,Nearby,9
Highett,3,h,Buxton,2/3/2018,16,3190,3,2,2,633,Southern Metropolitan,4794,1410000,Moderately close,10
Hoppers Crossing,4,h,Benlor,2/3/2018,18.4,3029,4,2,4,537,Western Metropolitan,13830,680000,Moderately close,14
Kingsbury,4,h,Ray,2/3/2018,12.1,3083,4,2,1,510,Northern Metropolitan,1414,720000,Nearby,11
Lilydale,3,h,Max,2/3/2018,29.9,3140,3,2,2,840,Eastern Victoria,6732,650000,Moderately close,10
Meadow Heights,7,h,Raine,2/3/2018,17.4,3048,7,3,2,833,Northern Metropolitan,4704,786500,Moderately close,19
Melbourne,1,u,Harcourts,2/3/2018,0,3000,1,1,1,50,Northern Metropolitan,17496,445000,Nearby,4
Melton,4,h,hockingstuart,2/3/2018,31.7,3337,4,1,2,587,Western Victoria,3600,413000,Far,11
Melton South,4,h,hockingstuart,2/3/2018,29.8,3338,4,1,2,583,Western Victoria,4718,410000,Moderately close,11
Melton South,3,h,hockingstuart,2/3/2018,29.8,3338,3,1,2,594,Western Victoria,4718,417500,Moderately close,9
